shade,hex,rgb
white,#ffffff,255/255/255
black,#000000,0/0/0
gray,#b0b0b0,175/176/176
yellow,#fff608,255/246/8
yellow,#f6f629,246/246/41
yellow,#f5f589,245/245/137
darkyellow,#f3cd0f,243/205/15
darkyellow,#d1b214,209/178/20
darkyellow,#c3ac37,195/172/55
lightorange,#f2d08d,242/208/141
lightorange,#fce3b2,252/227/178
lightorange,#fac458,250/196/88
orange,#fdaa03,253/170/3
orange,#d58112,213/129/18
orange,#e19a3e,225/154/62
red,#eb230d,235/35/13
red,#b01a0a,176/26/10
red,#b6463a,182/70/58
magenta,#f001e0,240/1/224
magenta,#ec40e1,236/64/225
magenta,#e477dc,228/119/220
violett,#610795,97/7/149
violett,#a946eb,169/70/235
violett,#8743b5,135/67/181
darkblue,#390deb,57/13/235
darkblue,#3b1cb6,59/28/182
darkblue,#30169b,48/22/155
blue,#0f98e8,15/152/232
blue,#4aa4d8,74/164/216
blue,#93cbec,147/203/237
cyan,#17f8ff,23/248/255
cyan,#5edee2,94/222/226
cyan,#2e9194,46/145/148
green,#0d6825,13/104/37
green,#3c8d52,60/141/82
gren,#6aa47a,106/164/122
lightgreen,#0aff4c,10/255/76
lightgreen,#5bee56,91/238/86
lightgreen,#b4ffb2,180/255/178
